Champion,Role,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg Ban Turn,Game Time,CS per min,Damage per min,Gold per min,CSD@15,GD@15,XPD@15
VelKoz,,14,16,1,11,3,79%,6,5.3,32:58:00,7.9,691,412,5.6,219,54
Morgana,,22,7,1,12,10,55%,4.1,6.9,31:27:00,0.7,258,256,-11.3,404,200
Lillia,,17,12,1,9,8,53%,3.5,6.7,32:08:00,6.8,438,376,15.4,509,308
Annie,,7,21,1,3,4,43%,3.1,3.5,32:01:00,7.2,506,366,11.2,-86,-483
Nasus,,18,10,1,8,10,44%,1.9,8.6,30:05:00,5.1,421,330,-18.7,-998,-428
Mordekaiser,,20,7,1,9,11,45%,1.9,7.3,32:01:00,7.7,466,378,-2.6,20,-21
Sona,,21,6,1,11,10,52%,4.3,7.2,30:07:00,1.1,156,247,-6.6,-21,243
Chogath,,20,6,1,10,10,50%,2.1,7.8,32:10:00,7.4,382,364,-5.9,-355,-212
Taric,,17,4,1,7,10,41%,2.9,8,31:48:00,1.2,74,231,0.6,-95,-24
Shyvana,,17,3,1,6,11,35%,2.8,4.3,33:31:00,7.6,506,387,12.2,211,551
Malzahar,,14,5,1,8,6,57%,3.3,8.2,30:44:00,7.8,413,379,-7.1,-219,324
Kled,,4,15,1,4,0,100%,5.4,3.8,35:44:00,7.8,503,436,-9,104,90
KogMaw,,14,3,0,6,8,43%,2.5,9.7,29:31:00,8.5,566,399,3.7,-7,-5
Sivir,,15,2,0,8,7,53%,3.1,9.5,30:58:00,9.6,462,417,3.6,-184,60
Kayn,,15,1,0,5,10,33%,2.5,8,31:14:00,6.5,486,396,-0.5,-40,-214
Zac,,10,4,0,5,5,50%,3.6,8.8,30:46:00,3.8,286,305,-9.5,-291,-281
Heimerdinger,,3,8,0,1,2,33%,1.4,2.9,32:11:00,7.8,488,363,3,-86,556
Rengar,,4,7,0,3,1,75%,4.4,2,29:42:00,7.3,589,436,19,1260,826
Taliyah,,6,5,0,1,5,17%,2.3,2.4,34:15:00,4.4,426,326,-5.3,622,44
Maokai,,8,2,0,4,4,50%,2.6,8,31:15:00,1.8,288,245,-4.6,-400,-475
Singed,,6,3,0,5,1,83%,2.8,9.7,33:36:00,6.1,342,345,-13.3,-236,-278
Skarner,,6,3,0,2,4,33%,3.2,9,34:49:00,4.9,165,306,0.4,71,-222
Anivia,,6,2,0,4,2,67%,3.9,5.5,30:37:00,8.8,468,404,16.7,667,592
Shaco,,6,1,0,3,3,50%,4,9,30:42:00,5.1,310,348,-5.5,319,-142
Kayle,,3,3,0,1,2,33%,1.9,7.7,28:01:00,8.8,507,395,-13.5,-206,-648
Pantheon,,2,4,0,2,0,100%,2.7,1.3,31:28:00,5,370,337,3,592,158
Vi,,6,0,0,3,3,50%,2.1,-,33:10:00,5.6,282,341,-11,-1038,-742
Yorick,,5,1,0,3,2,60%,2.7,10,26:23:00,9.1,457,439,6.8,506,127
Fiddlesticks,,0,5,0,,,,,2.8,0:00:00,,,,,,
Amumu,,1,3,0,0,1,0%,1.8,7,30:02:00,1.4,174,225,-,-,-
Nunu,,1,2,0,1,0,100%,7,4,30:08:00,5.3,313,357,0,574,-203
Teemo,,3,0,0,1,2,33%,2.5,-,30:28:00,7.1,825,433,15.7,1381,1193
Aurelion Sol,,2,1,0,1,1,50%,8,1,34:37:00,8.7,601,433,-20.5,-556,-442
Neeko,,0,3,0,,,,,1.3,0:00:00,,,,,,
Fizz,,2,0,0,0,2,0%,1.9,-,32:14:00,6.3,265,359,-18,-1124,-696
Zyra,,2,0,0,0,2,0%,1.8,-,37:19:00,0.9,329,223,-13,-15,600
Illaoi,,0,2,0,,,,,4,0:00:00,,,,,,
Elise,,1,0,0,0,1,0%,0.8,-,41:54:00,4.1,243,272,-2,195,-359
Garen,,1,0,0,0,1,0%,0.8,-,25:26:00,7.2,555,361,-11,-370,155
Master Yi,,1,0,0,0,1,0%,1.2,-,25:40:00,4.1,291,312,-46,-2238,-1879
Quinn,,0,1,0,,,,,8,0:00:00,,,,,,
Warwick,,1,0,0,1,0,100%,2.4,-,26:14:00,5.6,553,405,23,1880,1078
Brand,,0,0,0,,,,,-,0:00:00,,,,,,
Katarina,,0,0,0,,,,,-,0:00:00,,,,,,
Rammus,,0,0,0,,,,,-,0:00:00,,,,,,
Swain,,0,0,0,,,,,-,0:00:00,,,,,,
